sale_id,date,product_id,quantity
S00001,2026-08-21,P002,1
S00002,2026-07-06,P004,2
S00003,2026-06-18,P002,5
S00004,2026-06-12,P010,4
S00005,2026-06-05,P001,1
S00006,2026-06-28,P004,5
S00007,2026-08-17,P001,5
S00008,2026-06-26,P009,4
S00009,2026-06-29,P008,5
S00010,2026-07-06,P001,2
S00011,2026-08-29,P007,3
S00012,2026-07-06,P003,2
S00013,2026-07-14,P002,1
S00014,2026-07-19,P002,3
S00015,2026-07-15,P010,3
S00016,2026-06-06,P008,5
S00017,2026-06-16,P007,1
S00018,2026-08-10,P005,5
S00019,2026-07-17,P010,2
S00020,2026-06-09,P001,2
S00021,2026-07-08,P002,2
S00022,2026-06-13,P007,3
S00023,2026-07-29,P006,2
S00024,2026-07-18,P006,2
S00025,2026-08-25,P005,1
S00026,2026-08-17,P003,5
S00027,2026-07-02,P003,4
S00028,2026-07-19,P005,5
S00029,2026-06-29,P006,1
S00030,2026-06-30,P001,3
S00031,2026-07-22,P005,1
S00032,2026-06-28,P010,3
S00033,2026-06-28,P008,4
S00034,2026-08-22,P008,2
S00035,2026-07-04,P003,2
S00036,2026-08-11,P009,3
S00037,2026-08-14,P007,5
S00038,2026-07-22,P006,2
S00039,2026-06-18,P009,4
S00040,2026-06-12,P001,1
S00041,2026-06-20,P003,4
S00042,2026-08-16,P002,4
S00043,2026-07-19,P010,4
S00044,2026-08-07,P005,5
S00045,2026-06-02,P002,5
S00046,2026-07-05,P006,1
S00047,2026-07-08,P007,2
S00048,2026-07-29,P001,3
S00049,2026-08-04,P003,5
S00050,2026-06-14,P005,5
S00051,2026-08-17,P004,2
S00052,2026-07-18,P003,5
S00053,2026-08-07,P001,5
S00054,2026-07-12,P008,1
S00055,2026-06-15,P006,3
S00056,2026-07-01,P001,2
S00057,2026-08-12,P002,1
S00058,2026-08-02,P002,5
S00059,2026-06-17,P003,4
S00060,2026-08-10,P003,3
S00061,2026-08-07,P010,4
S00062,2026-06-28,P009,2
S00063,2026-07-10,P007,3
S00064,2026-07-27,P009,4
S00065,2026-06-16,P004,2
S00066,2026-06-09,P006,1
S00067,2026-08-15,P009,2
S00068,2026-08-15,P004,1
S00069,2026-06-10,P001,2
S00070,2026-06-09,P001,3
S00071,2026-06-10,P009,2
S00072,2026-07-06,P008,2
S00073,2026-08-09,P003,5
S00074,2026-08-13,P008,2
S00075,2026-07-31,P007,2
S00076,2026-06-13,P002,4
S00077,2026-07-16,P007,4
S00078,2026-07-30,P001,1
S00079,2026-06-08,P007,3
S00080,2026-06-14,P004,2
S00081,2026-06-25,P009,4
S00082,2026-06-18,P007,2
S00083,2026-07-06,P008,2
S00084,2026-06-10,P008,5
S00085,2026-06-13,P001,5
S00086,2026-06-02,P002,2
S00087,2026-06-22,P007,4
S00088,2026-08-01,P004,4
S00089,2026-06-08,P003,4
S00090,2026-06-01,P007,3
S00091,2026-07-29,P005,4
S00092,2026-08-29,P009,4
S00093,2026-06-20,P004,3
S00094,2026-06-28,P001,5
S00095,2026-08-09,P001,3
S00096,2026-06-08,P001,5
S00097,2026-08-01,P009,5
S00098,2026-06-21,P001,5
S00099,2026-06-11,P003,1
S00100,2026-08-16,P002,2
S00101,2026-07-22,P002,5
S00102,2026-07-02,P010,5
S00103,2026-06-06,P010,1
S00104,2026-07-24,P010,5
S00105,2026-08-06,P006,3
S00106,2026-06-27,P006,2
S00107,2026-07-04,P007,2
S00108,2026-08-25,P005,4
S00109,2026-07-11,P002,1
S00110,2026-07-29,P010,5
S00111,2026-06-13,P002,5
S00112,2026-06-28,P009,3
S00113,2026-06-17,P006,1
S00114,2026-07-02,P006,3
S00115,2026-06-21,P008,5
S00116,2026-07-09,P010,5
S00117,2026-06-02,P009,3
S00118,2026-08-24,P002,2
S00119,2026-07-04,P002,1
S00120,2026-08-10,P003,3
S00121,2026-07-07,P010,2
S00122,2026-07-14,P004,3
S00123,2026-08-04,P008,3
S00124,2026-06-07,P002,4
S00125,2026-07-06,P001,1
S00126,2026-07-13,P003,3
S00127,2026-06-21,P008,5
S00128,2026-07-25,P009,1
S00129,2026-06-15,P002,2
S00130,2026-08-09,P001,3
S00131,2026-08-14,P009,2
S00132,2026-07-26,P003,1
S00133,2026-07-10,P006,1
S00134,2026-07-16,P004,2
S00135,2026-08-25,P002,3
S00136,2026-08-11,P007,5
S00137,2026-06-20,P004,2
S00138,2026-06-23,P007,1
S00139,2026-06-23,P006,4
S00140,2026-08-25,P004,3
S00141,2026-06-21,P002,4
S00142,2026-06-05,P008,2
S00143,2026-06-26,P008,3
S00144,2026-07-10,P004,2
S00145,2026-06-04,P004,4
S00146,2026-07-13,P005,1
S00147,2026-07-06,P006,5
S00148,2026-07-22,P009,3
S00149,2026-06-04,P002,3
S00150,2026-06-23,P010,3
S00151,2026-06-05,P002,5
S00152,2026-07-26,P006,3
S00153,2026-07-26,P010,5
S00154,2026-06-15,P007,5
S00155,2026-06-25,P005,1
S00156,2026-07-26,P001,5
S00157,2026-08-08,P004,3
S00158,2026-07-26,P002,3
S00159,2026-08-19,P006,1
S00160,2026-07-09,P009,3
S00161,2026-08-25,P007,3
S00162,2026-07-22,P005,5
S00163,2026-06-17,P004,4
S00164,2026-08-25,P007,2
S00165,2026-08-18,P010,3
S00166,2026-07-22,P009,1
S00167,2026-07-09,P005,2
S00168,2026-07-26,P010,5
S00169,2026-08-23,P006,4
S00170,2026-07-27,P008,2
S00171,2026-08-05,P008,2
S00172,2026-08-24,P002,3
S00173,2026-08-05,P010,3
S00174,2026-06-12,P004,3
S00175,2026-06-29,P004,2
S00176,2026-06-04,P001,2
S00177,2026-07-31,P010,1
S00178,2026-07-29,P007,5
S00179,2026-06-25,P007,4
S00180,2026-07-22,P004,2
S00181,2026-08-23,P001,1
S00182,2026-07-25,P004,2
S00183,2026-08-29,P009,4
S00184,2026-06-07,P009,2
S00185,2026-06-16,P008,2
S00186,2026-07-30,P009,5
S00187,2026-08-16,P006,4
S00188,2026-08-18,P009,4
S00189,2026-08-10,P008,2
S00190,2026-07-31,P008,3
S00191,2026-07-02,P005,5
S00192,2026-08-02,P004,3
S00193,2026-07-27,P002,3
S00194,2026-07-01,P005,3
S00195,2026-07-11,P009,1
S00196,2026-06-18,P003,2
S00197,2026-07-20,P003,2
S00198,2026-06-09,P007,4
S00199,2026-07-13,P009,4
S00200,2026-07-24,P001,2
S00201,2026-07-24,P007,5
S00202,2026-08-29,P001,5
S00203,2026-07-19,P008,1
S00204,2026-07-16,P005,4
S00205,2026-07-24,P009,5
S00206,2026-08-17,P004,4
S00207,2026-06-29,P005,4
S00208,2026-08-02,P001,4
S00209,2026-07-14,P007,2
S00210,2026-07-30,P003,5
S00211,2026-08-08,P001,4
S00212,2026-08-15,P010,1
S00213,2026-06-11,P007,2
S00214,2026-07-30,P003,1
S00215,2026-07-04,P007,3
S00216,2026-06-28,P008,3
S00217,2026-07-14,P007,3
S00218,2026-07-24,P005,1
S00219,2026-07-31,P001,5
S00220,2026-06-07,P006,2
S00221,2026-08-23,P002,1
S00222,2026-06-04,P004,2
S00223,2026-06-03,P010,2
S00224,2026-07-01,P003,4
S00225,2026-08-25,P002,5
S00226,2026-06-28,P008,3
S00227,2026-07-18,P003,5
S00228,2026-08-17,P002,2
S00229,2026-07-10,P002,5
S00230,2026-06-04,P005,5
S00231,2026-08-26,P007,4
S00232,2026-06-26,P002,5
S00233,2026-08-28,P004,1
S00234,2026-08-29,P005,5
S00235,2026-06-16,P010,1
S00236,2026-07-15,P009,4
S00237,2026-08-24,P006,1
S00238,2026-08-04,P006,1
S00239,2026-07-24,P008,1
S00240,2026-07-26,P006,4
S00241,2026-06-20,P007,2
S00242,2026-08-06,P005,5
S00243,2026-08-08,P008,4
S00244,2026-07-26,P010,3
S00245,2026-07-12,P004,1
S00246,2026-07-06,P008,2
S00247,2026-07-30,P010,5
S00248,2026-08-25,P007,3
S00249,2026-06-04,P008,3
S00250,2026-06-24,P008,2
S00251,2026-07-16,P005,3
S00252,2026-07-06,P010,3
S00253,2026-08-11,P001,5
S00254,2026-06-25,P002,2
S00255,2026-07-23,P008,5
S00256,2026-07-01,P008,4
S00257,2026-07-28,P001,1
S00258,2026-07-08,P004,4
S00259,2026-08-28,P004,3
S00260,2026-08-24,P010,3
S00261,2026-07-31,P009,5
S00262,2026-07-15,P007,5
S00263,2026-07-13,P006,4
S00264,2026-07-05,P005,3
S00265,2026-06-30,P002,2
S00266,2026-07-11,P002,5
S00267,2026-08-28,P003,2
S00268,2026-06-28,P008,3
S00269,2026-08-15,P009,5
S00270,2026-07-07,P002,2
S00271,2026-07-08,P004,3
S00272,2026-06-23,P005,1
S00273,2026-08-08,P003,3
S00274,2026-06-06,P001,5
S00275,2026-07-08,P003,4
S00276,2026-06-14,P001,5
S00277,2026-07-07,P008,4
S00278,2026-07-27,P006,2
S00279,2026-06-07,P005,4
S00280,2026-06-15,P002,4
S00281,2026-08-02,P002,5
S00282,2026-08-20,P001,2
S00283,2026-06-20,P010,3
S00284,2026-06-11,P004,1
S00285,2026-08-11,P007,5
S00286,2026-08-16,P010,2
S00287,2026-08-06,P007,4
S00288,2026-07-27,P005,5
S00289,2026-07-25,P005,5
S00290,2026-08-19,P001,5
S00291,2026-06-13,P004,2
S00292,2026-07-04,P002,2
S00293,2026-07-01,P003,5
S00294,2026-06-10,P003,1
S00295,2026-07-23,P008,5
S00296,2026-07-31,P005,1
S00297,2026-06-30,P005,3
S00298,2026-08-29,P008,1
S00299,2026-08-27,P004,3
S00300,2026-08-20,P010,2
S00301,2026-07-25,P002,5
S00302,2026-06-29,P003,3
S00303,2026-06-19,P002,1
S00304,2026-06-22,P005,5
S00305,2026-08-12,P005,4
S00306,2026-06-16,P008,3
S00307,2026-08-29,P007,3
S00308,2026-08-04,P009,4
S00309,2026-07-27,P002,5
S00310,2026-06-06,P007,3
S00311,2026-08-17,P005,1
S00312,2026-06-12,P004,5
S00313,2026-08-15,P001,3
S00314,2026-08-13,P001,2
S00315,2026-07-31,P009,4
S00316,2026-07-06,P003,5
S00317,2026-07-26,P008,1
S00318,2026-07-31,P006,4
S00319,2026-07-13,P006,1
S00320,2026-06-21,P006,4
S00321,2026-08-28,P008,3
S00322,2026-08-24,P007,5
S00323,2026-06-05,P008,1
S00324,2026-07-11,P005,3
S00325,2026-06-15,P007,5
S00326,2026-06-01,P009,4
S00327,2026-07-23,P001,2
S00328,2026-08-06,P006,5
S00329,2026-08-03,P008,1
S00330,2026-06-27,P005,5
S00331,2026-06-17,P005,4
S00332,2026-08-29,P008,1
S00333,2026-06-04,P010,2
S00334,2026-06-21,P005,5
S00335,2026-06-02,P009,4
S00336,2026-06-12,P004,1
